season,athlete_id,guid,uid,slug,type,first_name,last_name,full_name,display_name,short_name,height,display_height,weight,display_weight,age,date_of_birth,birth_city,birth_state,birth_country,jersey,position_id,position_name,position_abbreviation,position_display_name,college_id,current_team_id,headshot_href,experience_years,status_id,status_name,status_type,draft_year,draft_round,draft_selection,active
2022,91,e28a886c-1b4a-8c9e-c427-68ab9d0927ed,s:40~l:59~a:91,sue-bird,basketball,Sue,Bird,Sue Bird,Sue Bird,S. Bird,69.0,"5' 9""",150.0,150 lbs,45,1980-10-16T07:00Z,Syosset,NY,USA,10,3,Guard,G,Guard,41,14,https://a.espncdn.com/i/headshots/wnba/players/full/91.png,18,2,Inactive,inactive,2002,1,1,false
2022,585,af0e2a4e-188a-421e-60ba-0c5f32ad63ad,s:40~l:59~a:585,diana-taurasi,basketball,Diana,Taurasi,Diana Taurasi,Diana Taurasi,D. Taurasi,72.0,"6' 0""",163.0,163 lbs,44,1982-06-11T07:00Z,Glendale,CA,USA,3,3,Guard,G,Guard,41,11,https://a.espncdn.com/i/headshots/wnba/players/full/585.png,19,2,Inactive,inactive,2004,1,1,false
2022,764,710e9304-4e9e-b5c1-7663-8bf335ede874,s:40~l:59~a:764,allie-quigley,basketball,Allie,Quigley,Allie Quigley,Allie Quigley,A. Quigley,70.0,"5' 10""",142.0,142 lbs,40,1986-06-20T07:00Z,Joliet,IL,USA,14,3,Guard,G,Guard,305,19,https://a.espncdn.com/i/headshots/wnba/players/full/764.png,13,2,Inactive,inactive,,,,false
2022,766,08e807cc-398f-e0f7-61ad-0d448bfeb280,s:40~l:59~a:766,sylvia-fowles,basketball,Sylvia,Fowles,Sylvia Fowles,Sylvia Fowles,S. Fowles,78.0,"6' 6""",217.0,217 lbs,40,1985-10-06T07:00Z,Miami,FL,USA,34,9,Center,C,Center,99,8,https://a.espncdn.com/i/headshots/wnba/players/full/766.png,14,2,Inactive,inactive,2008,1,2,false
2022,812,61b484e2-521e-a0b3-01d4-e85c791af05c,s:40~l:59~a:812,candace-parker,basketball,Candace,Parker,Candace Parker,Candace Parker,C. Parker,76.0,"6' 4""",184.0,184 lbs,40,1986-04-19T08:00Z,Naperville,IL,USA,3,7,Forward,F,Forward,2633,17,https://a.espncdn.com/i/headshots/wnba/players/full/812.png,16,2,Inactive,inactive,2008,1,1,false
2022,838,d1b5f35f-0e16-721c-1be2-62fc2dcc6a98,s:40~l:59~a:838,kia-vaughn,basketball,Kia,Vaughn,Kia Vaughn,Kia Vaughn,K. Vaughn,76.0,"6' 4""",205.0,205 lbs,39,1987-01-24T08:00Z,Bronx,NY,USA,7,9,Center,C,Center,164,20,https://a.espncdn.com/i/headshots/wnba/players/full/838.png,12,2,Inactive,inactive,2009,1,8,false
2022,856,06f5a686-cc19-277e-e971-4ac54c2ded8f,s:40~l:59~a:856,kristi-toliver,basketball,Kristi,Toliver,Kristi Toliver,Kristi Toliver,K. Toliver,67.0,"5' 7""",130.0,130 lbs,39,1987-01-27T08:00Z,Harrisonburg,VA,USA,20,3,Guard,G,Guard,120,16,https://a.espncdn.com/i/headshots/wnba/players/full/856.png,13,2,Inactive,inactive,2009,1,3,false
2022,860,6f9f7d39-3b14-c019-f650-81f77ff615d2,s:40~l:59~a:860,briann-january,basketball,Briann,January,Briann January,Briann January,B. January,68.0,"5' 8""",144.0,144 lbs,39,1987-01-11T08:00Z,Spokane,WA,USA,20,3,Guard,G,Guard,9,14,https://a.espncdn.com/i/headshots/wnba/players/full/860.png,13,2,Inactive,inactive,,,,false
2022,869,74bfe609-0fcb-e955-df3e-e206e06a3a6a,s:40~l:59~a:869,dewanna-bonner,basketball,DeWanna,Bonner,DeWanna Bonner,DeWanna Bonner,D. Bonner,76.0,"6' 4""",140.0,140 lbs,38,1987-08-21T07:00Z,Fairfield,AL,USA,24,7,Forward,F,Forward,2,11,https://a.espncdn.com/i/headshots/wnba/players/full/869.png,17,1,Active,active,,,,true
2022,872,6d80f287-6d06-b6c4-fda2-ed198b94434c,s:40~l:59~a:872,angel-mccoughtry,basketball,Angel,McCoughtry,Angel McCoughtry,Angel McCoughtry,A. McCoughtry,73.0,"6' 1""",173.0,173 lbs,39,1986-09-10T07:00Z,Baltimore,MD,USA,35,7,Forward,F,Forward,97,8,https://a.espncdn.com/i/headshots/wnba/players/full/872.png,12,2,Inactive,inactive,2009,1,1,false
2022,882,0230e8a4-7b90-b239-96b7-ee1abe4600da,s:40~l:59~a:882,epiphanny-prince,basketball,Epiphanny,Prince,Epiphanny Prince,Epiphanny Prince,E. Prince,69.0,"5' 9""",179.0,179 lbs,38,1988-01-11T08:00Z,New York,NY,USA,10,3,Guard,G,Guard,164,9,https://a.espncdn.com/i/headshots/wnba/players/full/882.png,13,1,Active,active,2010,1,4,true
